enrollment_id,user_id,course_id,enrollment_date,completion_status
0,0,168,11-03-2026,In Progress
1,0,28,02-04-2026,Dropped
2,0,58,08-01-2026,Completed
3,1,31,06-04-2026,In Progress
4,1,81,07-06-2025,In Progress
5,1,110,15-04-2026,Completed
6,2,90,04-03-2026,Completed
7,3,114,04-07-2025,Completed
8,3,139,06-10-2025,Dropped
9,4,50,28-09-2025,Completed
10,5,169,26-09-2025,Completed
11,5,149,19-10-2025,Dropped
12,6,185,01-01-2026,In Progress
13,6,148,17-06-2025,Completed
14,6,183,19-02-2026,In Progress
15,6,198,24-01-2026,In Progress
16,7,37,23-06-2025,Dropped
17,7,147,25-02-2026,Dropped
18,7,160,10-02-2026,Completed
19,7,142,09-03-2026,Dropped
20,8,96,04-12-2025,In Progress
21,8,99,02-05-2025,In Progress
22,8,59,30-10-2025,Completed
23,8,115,24-05-2025,Completed
24,9,54,16-10-2025,Dropped
25,9,31,29-04-2025,In Progress
26,9,115,30-04-2025,Dropped
27,10,162,25-08-2025,Completed
28,10,119,28-10-2025,In Progress
29,11,127,06-06-2025,Completed
30,11,68,15-05-2025,Completed
31,12,113,05-03-2026,Completed
32,12,42,11-02-2026,Completed
33,12,89,24-04-2026,Completed
34,12,75,06-03-2026,In Progress
35,13,180,13-04-2026,Dropped
36,13,170,07-01-2026,Dropped
37,13,93,19-06-2025,In Progress
38,14,12,07-10-2025,Dropped
39,14,67,12-01-2026,Dropped
40,14,146,17-04-2026,In Progress
41,15,105,23-02-2026,Dropped
42,15,94,25-06-2025,Completed
43,15,174,24-04-2026,Completed
44,16,197,23-04-2026,In Progress
45,16,45,05-04-2026,In Progress
46,16,49,04-09-2025,In Progress
47,17,124,28-07-2025,Completed
48,17,70,25-12-2025,Completed
49,18,53,07-05-2025,Dropped
50,18,79,10-07-2025,Completed
51,19,149,17-05-2025,Dropped
52,19,153,27-12-2025,In Progress
53,19,18,17-08-2025,In Progress
54,20,80,26-02-2026,In Progress
55,20,171,02-01-2026,Dropped
56,21,141,28-03-2026,In Progress
57,21,102,10-09-2025,In Progress
58,21,57,19-10-2025,Dropped
59,21,157,02-02-2026,Completed
60,22,109,02-03-2026,In Progress
61,22,128,21-02-2026,In Progress
62,22,192,21-11-2025,In Progress
63,22,85,05-08-2025,Dropped
64,23,130,12-04-2026,In Progress
65,23,28,23-12-2025,In Progress
66,24,153,12-05-2025,Completed
67,24,188,13-02-2026,Completed
68,24,196,12-12-2025,Dropped
69,25,54,21-09-2025,Dropped
70,25,165,30-04-2025,Completed
71,25,88,06-09-2025,In Progress
72,26,83,11-11-2025,In Progress
73,26,85,02-06-2025,Dropped
74,26,126,25-04-2026,Completed
75,26,92,15-09-2025,Completed
76,27,78,24-02-2026,In Progress
77,28,61,27-08-2025,Dropped
78,29,84,27-01-2026,In Progress
